,Epi
GSM4080280,0.973234436
GSM4080284,0.966010231
GSM4080281,0.969068644
GSM4080285,0.978189421
GSM4080288,0.947051328
GSM4080289,0.97237241
GSM4080286,0.963242916
GSM4080287,0.967179594
GSM4080290,0.951635022
GSM4080293,0.96855985
GSM4080294,0.95395999
GSM4080295,0.964875881
GSM4080291,0.964299346
GSM4080296,0.963672025
GSM4080297,0.972282478
GSM4080292,0.939383727
GSM4080298,0.902258279
GSM4080299,0.963136784
GSM4080301,0.970726125
GSM4080300,0.950710251
GSM4080302,0.975454402
GSM4080303,0.974200314
GSM4080304,0.950671905
GSM4080209,0.963091124
GSM4080206,0.976476806
GSM4080210,0.973279339
GSM4080208,0.964592141
GSM4080215,0.966107807
GSM4080211,0.965072631
GSM4080212,0.967080899
GSM4080213,0.963463347
GSM4080216,0.964253786
GSM4080214,0.951870874
GSM4080217,0.879343996
GSM4080218,0.968996994
GSM4080221,0.979586213
GSM4080219,0.957653524
GSM4080222,0.959256804
GSM4080223,0.958087281
GSM4080220,0.97774237
GSM4080224,0.951392362
GSM4080228,0.971830147
GSM4080229,0.964190125
GSM4080225,0.939670245
GSM4080230,0.973471037
GSM4080226,0.970062248
GSM4080231,0.921152987
GSM4080232,0.967840214
GSM4080227,0.95263662
GSM4080236,0.963471393
GSM4080233,0.978791979
GSM4080237,0.979083331
GSM4080234,0.977902733
GSM4080238,0.967770238
GSM4080235,0.913999458
GSM4080239,0.9597846
GSM4080240,0.963872811
GSM4080241,0.968184009
GSM4080244,0.977544926
GSM4080242,0.970541202
GSM4080243,0.965642616
GSM4080247,0.969716926
GSM4080245,0.967339074
GSM4080246,0.971863333
GSM4080248,0.987777941
GSM4080249,0.967705204
GSM4080250,0.986929609
GSM4080252,0.96553181
GSM4080253,0.977222123
GSM4080251,0.952516043
GSM4080254,0.970438404
GSM4080255,0.95588388
GSM4080256,0.954895654
GSM4080259,0.98866213
GSM4080258,0.970140273
GSM4080260,0.969933417
GSM4080305,0.973281348
GSM4080306,0.943909684
GSM4080307,0.979922303
GSM4080308,0.821727653
GSM4080261,0.941241356
GSM4080264,0.972556024
GSM4080262,0.969474307
GSM4080265,0.968787509
GSM4080263,0.956077446
GSM4080309,0.972791621
GSM4080311,0.973200338
GSM4080312,0.959662548
GSM4080313,0.962699526
GSM4080310,0.963355814
GSM4080314,0.969138928
GSM4080315,0.965473079
GSM4080267,0.979156725
GSM4080270,0.974396747
GSM4080268,0.967121761
GSM4080269,0.963223879
GSM4080272,0.961814874
GSM4080273,0.968661696
GSM4080318,0.96355184
GSM4080319,0.962406897
GSM4080320,0.968587649
GSM4080316,0.953699203
GSM4080321,0.965474655
GSM4080317,0.968537341
GSM4080322,0.967241686
GSM4080327,0.971400293
GSM4080324,0.970861655
GSM4080328,0.968791642
GSM4080329,0.967302225
GSM4080326,0.960571189
GSM4080330,0.981742939
GSM4080336,0.97297232
GSM4080332,0.963371255
GSM4080337,0.970529328
GSM4080333,0.918244279
GSM4080338,0.970546764
GSM4080334,0.961634004
GSM4080339,0.968670397
GSM4080335,0.953118404
GSM4080274,0.956841966
GSM4080277,0.978884028
GSM4080278,0.963426443
GSM4080275,0.960308573
GSM4080276,0.939022095
GSM4080279,0.970257377
GSM4080340,0.974262072
GSM4080344,0.953383582
GSM4080341,0.95446606
GSM4080345,0.982425787
GSM4080342,0.958615482
GSM4080346,0.944213873
GSM4080343,0.963309274
GSM4080347,0.965429443
GSM4080348,0.958898412
GSM4080349,0.966320599
GSM4080350,0.961592105
