Name,type,X,Y,snap
7-Eleven,cdb,-77.3828996,37.217798,n
7-Eleven,cdb,-77.3826533,37.2059937,y
Adriana's Mini Market & Taqueria,cdb,-77.3498286,37.2106221,n
Bristow Market,grocery,-77.421142,37.2233699,y
Chingo's Food Mart,grocery,-77.3817367,37.2027137,n
Dollar General,cdb,-77.4409291,37.2184142,y
Dollar General,cdb,-77.4012955,37.2275754,y
Dollar General,cdb,-77.3709821,37.1904443,y
Dollar General,cdb,-77.3678503,37.2401188,y
Dollar Tree,cdb,-77.3790517,37.2023702,y
Dollar Tree,cdb,-77.3676453,37.1824078,y
Family Dollar,cdb,-77.4254011,37.2021944,y
Family Dollar,cdb,-77.4086045,37.215147,y
Family Dollar,cdb,-77.408201,37.2264251,y
Family Dollar,cdb,-77.3804869,37.2036779,y
First Food Market,grocery,-77.4150404,37.2255675,y
First Food Market,grocery,-77.4150404,37.2255675,y
Food Lion,grocery,-77.3813224,37.2010137,y
Goodness & Mercy International Food Market,cdb,-77.3719168,37.2393123,n
Halifax Supermarket,grocery,-77.407341,37.2215881,y
Harrison's So Fresh Supermarket,grocery,-77.4365825,37.2184702,n
J's Groceries,grocery,-77.4121789,37.2107466,n
Kwik Mart,cdb,-77.3643,37.2394155,n
Little Food Mart,grocery,-77.4097141,37.2135257,y
MARKET PLACE #2,cdb,-77.3765507,37.195495,y
Market Place Sunoco,cdb,-77.4053642,37.2272011,y
Midget Mart,cdb,-77.4267294,37.2209966,y
Miller Mart,cdb,-77.3333303,37.2000693,n
Petersburg Food Mart,grocery,-77.3765135,37.2379027,n
Petersburg Marketplace,cdb,-77.3604147,37.1744343,y
Qwik Stop,cdb,-77.3915936,37.2309263,y
Save A Lot,grocery,-77.3821707,37.2052016,y
Shorts Grocery,grocery,-77.4049118,37.2167527,y
SMS Grocery and Deli,grocery,-77.3627896,37.2141233,y
South Adams Super Market,grocery,-77.3987125,37.2185728,n
Stop & Go Bodega,cdb,-77.3643006,37.2394193,y
Try Me Supermarket,grocery,-77.4199708,37.2045439,y
Valero Food Mart,cdb,-77.4226159,37.2032917,y
Walmart Supercenter,grocery,-77.3672943,37.1795806,y
