X,Y,ObjectId,Store_Name,Address,City,State,Zip5,Zip4,County,Longitude,Latitude
-77.406662,37.221569,6645,Halifax Food Center,333 Halifax St,Petersburg,VA,23803,6335,PETERSBURG,-77.406662,37.221569
-77.420929,37.223309,11994,Bumbay Seafood,1104 W Washington St,Petersburg,VA,23803,3921,PETERSBURG,-77.420929,37.223309
-77.36866,37.239471,39780,Dollar General 13408,2131 E Washington St,Petersburg,VA,23803,3723,PETERSBURG,-77.36866,37.239471
-77.407135,37.227062,41947,Global Seafood,222 W Washington St,Petersburg,VA,23803,4204,PETERSBURG,-77.407135,37.227062
-77.406197,37.233551,43530,River Street Market LLC,30 River St,Petersburg,VA,23803,4500,PETERSBURG,-77.406197,37.233551
-77.420395,37.222652,50347,Corner Store Mart Inc.,28 S West Street,Petersburg,VA,23805,2029,PETERSBURG,-77.420395,37.222652
-77.367203,37.183704,50602,Roses Express 675,3330 S Crater Rd,Petersburg,VA,23805,9277,PETERSBURG,-77.367203,37.183704
-77.426933,37.221088,50849,Midget Mart No 2 Inc,1420 W Washington St,Petersburg,VA,23803,3905,PETERSBURG,-77.426933,37.221088
-77.409721,37.213657,66113,Little Food Mart,908 Halifax St,Petersburg,VA,23803,4941,PETERSBURG,-77.409721,37.213657
-77.370758,37.215622,68715,Raceway Petersberg,2058 County Dr,Petersburg,VA,23803,4706,PETERSBURG,-77.370758,37.215622
-77.380219,37.202492,70324,CVS Pharmacy 1978,2100 S Crater Rd,Petersburg,VA,23805,2702,PETERSBURG,-77.380219,37.202492
-77.371483,37.189869,71622,Dollar General 3573,3105 S Crater Rd,Petersburg,VA,23805,9218,PETERSBURG,-77.371483,37.189869
-77.404785,37.216736,73022,SHORTTS GROCERY,300 Mistletoe St,Petersburg,VA,23803,6302,PETERSBURG,-77.404785,37.216736
-77.407616,37.226994,73556,Family Dollar Store 1394,250 W Washington St,Petersburg,VA,23803,4204,PETERSBURG,-77.407616,37.226994
-77.411568,37.211246,74873,J'S GROCERIES,1136 Halifax St,Petersburg,VA,23803,4911,PETERSBURG,-77.411568,37.211246
-77.375977,37.195557,75755,Mo's Market Deli,2710 S Crater Rd,Petersburg,VA,23805,2404,PETERSBURG,-77.375977,37.195557
-77.392563,37.230381,83175,"Qwik Stop, Inc. 1",715 E Washington St,Petersburg,VA,23803,3449,PETERSBURG,-77.392563,37.230381
-77.393021,37.230156,85046,Exxon Food Mart,615 E Washington St,Petersburg,VA,23803,4403,PETERSBURG,-77.393021,37.230156
-77.436638,37.2187,85498,Lim Seafood Llc,1914 W Washington St,Petersburg,VA,23803,2860,PETERSBURG,-77.436638,37.2187
-77.381393,37.204025,87890,SAVE-A-LOT 522,2001 S Crater Rd,Petersburg,VA,23805,2703,PETERSBURG,-77.381393,37.204025
-77.425171,37.20195,92774,Family Dollar 12347,1847 Boydton Plank Rd,Petersburg,VA,23805,8919,PETERSBURG,-77.425171,37.20195
-77.379967,37.202248,96808,Food Lion 2671,2120 S Crater Rd,Petersburg,VA,23805,2702,PETERSBURG,-77.379967,37.202248
-77.426834,37.220688,97167,Lucky Seven,1450 W Wythe St,Petersburg,VA,23803,3944,PETERSBURG,-77.426834,37.220688
-77.367241,37.183704,105815,Dollar Tree 1322,3330 S Crater Rd,Petersburg,VA,23805,9229,PETERSBURG,-77.367241,37.183704
-77.400894,37.228188,108388,Petersburg Deli Inc,140 E Washington St,Petersburg,VA,23803,4310,PETERSBURG,-77.400894,37.228188
-77.367805,37.184551,109186,Walgreens 09270,3298 S Crater Rd,Petersburg,VA,23805,9217,PETERSBURG,-77.367805,37.184551
-77.41481,37.225643,115826,First Food Market,705 W Washington St,Petersburg,VA,23803,3057,PETERSBURG,-77.41481,37.225643
-77.433243,37.219505,126191,Grayson Seafood Inc,1728 W Washington St,Petersburg,VA,23803,6267,PETERSBURG,-77.433243,37.219505
-77.372749,37.238842,127850,E Washington BP,1932 E Washington St,Petersburg,VA,23803,3637,PETERSBURG,-77.372749,37.238842
-77.370514,37.188694,134690,Wawa Food Market 683,3199 S Crater Rd,Petersburg,VA,23805,9218,PETERSBURG,-77.370514,37.188694
-77.365028,37.180447,136502,Walmart Supercenter 2160,3500 S Crater Rd,Petersburg,VA,23805,9204,PETERSBURG,-77.365028,37.180447
-77.333633,37.200329,137690,Miller Mart 59,1200 Courthouse Rd,Petersburg,VA,23803,7952,PETERSBURG,-77.333633,37.200329
-77.420944,37.223392,150314,BRISTOW MARKET,1105 W Washington St,Petersburg,VA,23803,3920,PETERSBURG,-77.420944,37.223392
-77.440376,37.218067,151424,Dollar General 11974,2201 W Washington St,Petersburg,VA,23803,,PETERSBURG,-77.440376,37.218067
-77.400955,37.227329,166801,Dollar General 22120,15 S Adams St,Petersburg,VA,23803,4524,PETERSBURG,-77.400955,37.227329
-77.405006,37.227455,166909,The Market Place 1,110 W Washington St,Petersburg,VA,23803,4226,PETERSBURG,-77.405006,37.227455
-77.436722,37.218445,170128,So Fresh Food,1900 W Washington St,Petersburg,VA,23803,2860,PETERSBURG,-77.436722,37.218445
-77.402664,37.226376,170975,Qwik Stop,8 E Wythe St,Petersburg,VA,23803,4534,PETERSBURG,-77.402664,37.226376
-77.434677,37.219154,171225,Quick Serve,1804 W Washington St,Petersburg,VA,23803,2858,PETERSBURG,-77.434677,37.219154
-77.416565,37.226978,175282,7-Eleven 11056H,225 N South St,Petersburg,VA,23803,3027,PETERSBURG,-77.416565,37.226978
-77.349663,37.210201,179773,"Pequeno Mexico, LLC Adriana's",2645 County Dr,Petersburg,VA,23803,4774,PETERSBURG,-77.349663,37.210201
-77.36618,37.189629,180272,Sheetz 627,151 Wagner Rd,Petersburg,VA,23805,,PETERSBURG,-77.36618,37.189629
-77.366745,37.21579,193509,460 Sunoco,2127 County Dr,Petersburg,VA,23803,4707,PETERSBURG,-77.366745,37.21579
-77.422844,37.203423,198908,Valero Gas And Food Mart,1740 Boydton Plank Rd,Petersburg,VA,23805,8922,PETERSBURG,-77.422844,37.203423
-77.376099,37.195751,209505,Petersburg Mkt Place,2706 S Crater Rd,Petersburg,VA,23805,2404,PETERSBURG,-77.376099,37.195751
-77.375557,37.194946,213528,Mobile Express,2755 S Crater Rd,Petersburg,VA,23805,2403,PETERSBURG,-77.375557,37.194946
